member,下載,type,text,規格書
MCC014,已下載,RPG,尾差調整,
MCC0141,已下載,RPG,尾差調整  更新成本最大之異動資料,
MCC015,已下載,RPG,產生新月份  INTAPF INTBPF,
MCC700,已下載,RPG,計算至指定日期庫存數量 ) WTB07,
MCC7001,已下載,RPG,TEST for MCC007,
MCC710,已下載,RPG,計算至指定日期陳列數量 ) WTB07,
MCC7101,已下載,RPG,TEST for MCC710,
MCC7772,已下載,RPG,庫存月結批次處理 SCREEN CHECK               A1546,
MCJ001,已下載,RPG,銷貨收入傳票產生 'S1',
MCJ002,已下載,RPG,進貨傳票產生 'C1' 'C2',
MCJ003,已下載,RPG,銷貨成本傳票產生 'S1',
MCJ004,已下載,RPG,進貨退出傳票產生 'B1',
MCJ005,已下載,RPG,陳列轉進貨傳票產生 'E1',
MCJ006,已下載,RPG,借貨傳票產生 'S2',
MCJ007,已下載,RPG,盤盈銷售傳票產生 'S3',
MCJ008,已下載,RPG,庫存調整傳票產生 'A1' 'A2' None 07 08,
MCJ0081,已下載,RPG,盤盈虧調整傳票產生 'A1' 'A2' 07 08,
MCJ009,已下載,RPG,成本調整傳票產生 (A3),
MCJ010,已下載,RPG,陳列調整傳票產生 (A4),
MCJ600,已下載,RPG,傳票批次作業 (screen check)                 A1492,
MCJ601,已下載,RPG,Check Account No.,
MCJ603,已下載,RPG,Update VHCTLPF,
MCJ900,已下載,RPG,盤點更新傳票批次作業,
MCJ910,已下載,RPG,"盤盈虧調整傳票產生 ""A6""  年度盤點",
MCX007,已下載,RPG,還原借貨資料  Initial Value,
MCX901,已下載,RPG,write Initial  借貨  to INTPPF,
MCX902,已下載,RPG,write  陳列調整  to INTPPF,
MOD001,已下載,RPG,維護程式－依陳列主檔更新分庫及總庫陳列品期初值,
MOD002,已下載,RPG,維護程式－依分庫檔帳列期初值更新總庫檔,
OTS001,已下載,RPG,UPDATE INTDPF.TD09 = INTCPF.TC03  WHERE TD09 = 0,
OTS006,已下載,SQL,Set MANDPF.ND22 = 'R',
OTS007,已下載,RPG,"修正  INTPPF Initial (TP15 = ""I"")  供應商代碼",
OTS007A,已下載,RPG,"修正  INTXPF TX07  供應商代碼 for ""S2""",
OTS008,已下載,SQL,"Change INTPPF TP12 = ""@@"" Where TP12 = Blank",
OTS008A,已下載,SQL,"INTXPF TX09 = ""@@"" Where TX09 = Blank&TX03 = ""S2""",
PIA0011,已下載,RPG,盤盈虧計算 - SCREEN CHECK                   A1492,
PIA0011N,已下載,RPG,盤盈虧計算 - SCREEN CHECK                   A1492,
PIA0012,已下載,RPG,盤盈虧計算 - 主程式                         A1492,
PIA0012N,已下載,RPG,盤盈虧計算 - 主程式                         A1492,
PIA0012N1,已下載,RPG,盤盈虧計算 - 主程式                         A1492,
PIA0012X,已下載,RPG,盤盈虧計算 - 主程式                         A1492,
PIA0021,已下載,RPG,盤點更新 - SCREEN CHECK                     A1492,
PIA0022,已下載,RPG,盤點更新 - 主程式                           A1492,
