member,下載,text,規格書,,,
PUC031,已下載,驗收單維護,,,,
PUC032,已下載,異常驗收單維護,,,,
PUC033,已下載,補增驗收單維護,,,,
PUC034,已下載,貨運實際箱數維護,,,,
PUC035,已下載,未完成驗收單號查詢,,,,
PUC036,已下載,驗收單歷史查詢,,,,
PUC0411,已下載,運費月結處理,,,,
PUC0412,已下載,運費月結處理,,,,
PUC0413,已下載,運費月結處理 --- 運費分攤,,,,
PUR010,已下載,驗收彙總表 (SCREEN CHECK),,,,
PUR0101,已下載,驗收彙總表 (WRITE WORKFILE),,,,
PUR0102,已下載,驗收彙總表 (PRINT REPORTS ),,,,
PUR020,已下載,驗收單明細表 (SCREEN CHECK),,,,
PUR0200,已下載,驗收單明細表 (WRITE WORKFILE),,,,
PUR0201,已下載,驗收單明細表 (PRINT REPORTS ),,,,
PUR030,已下載,分店驗收數量差異表 (SCREEN CHECK)  ,,,,
PUR0301,已下載,分店驗收數量差異表 (PRINT REPORTS1) ,,,,
PUR040,已下載,運費總表 (SCREEN CHECK) ,,,,
PUR0401,已下載,運費總表 (WRITE WORKFILE) ,,,,
PUR0402,已下載,運費總表 (PRINT REPORTS 1) ,,,,
PUR050,已下載,供應商負擔運費表 (SCREEN CHECK)  ,,,,
PUR0501,已下載,供應商負擔運費總表 (PRINT REPORTS1) ,,,,
PUR0502,已下載,供應商負擔運費明細表 (PRINT REPORTS 2),,,,
PUR0503,已下載,供應商負擔運費表（寫工作檔 ),,,,
PUR060,已下載,驗收月報表 (SCREEN CHECK),,,,
PUR0600,已下載,驗收月報表 (PREPARE 退貨 ),,,,
PUR06001,已下載,驗收月報表 (PREPARE 退貨 ),,,,
PUR0601,已下載,驗收月報表 (PRINT REPORTS 1),,,,
PUR0602,已下載,運費總表 (PRINT REPORTS 1)              ,,,,
PUR061,已下載,採購單彙總表 (SCREEN CHECK),,,,
PUR0611,已下載,採購單彙總表 (WRITE WORKFILE) - 總表,,,,
PUR0612,已下載,採購單彙總表 (PRINT REPORT  ) - 總表,,,,
PUR0613,已下載,採購單彙總表 (WRITE WORKFILE) - 明細表,,,,
PUR0614,已下載,採購單彙總表 (PRINT REPORT  ) - 明細表,,,,
PUR900,已下載,etrive  驗收資料,,,,
P03,已下載,ERIFY A GIVEN CHOP-NUMBER   ( 營利事業統一編號 ),,,,
SEH0011,已下載,"銷售批次 -Upload SCWK02, Chk data, Wtr SCWK03",,,,
SEH0012,已下載,"銷售批次－ CHK INTAPF, CLR SEHAPF,INTAPF,INTBPF",,,,
SEH0013,已下載,"銷售批次－加入 SEHAPF, 全部重算 INTAPF/INTBPF",,,,
SEH002,已下載,通路銷售資料確認                       ,,,,
SEH0021,已下載,通路銷售資料確認                        ,,,,
SER0101,已下載,通路無銷售資料異常表                 ,,,,
SER0102,已下載,通路無銷售資料異常表                 ,,,,
SER0103,已下載,通路無銷售資料異常表                  ,,,,
SER0201,已下載,通路銷售金額表,,,,
SER0202,已下載,通路銷售金額表,,,,
SER0301,已下載,銷貨收入分店彙總表,,,,
SER0302,已下載,銷貨收入分店彙總表,,,,
SER0401,已下載,產品銷貨收入彙總表,,,,
SER0402,已下載,產品銷貨收入彙總表,,,,
SER0501,已下載,通路銷售明細表,,,,
SER0502,已下載,通路銷售明細表,,,,
SER0503,已下載,通路銷售明細表（寫工作檔 ) ,,,,
SER0504,已下載,通路銷售明細表－分店（寫工作檔 ) ,,,,
SER0505,已下載,通路銷售明細表 - 分店 ,,,,
SWD001,已下載,代碼規則資料查詢,,,,
SWD002,已下載,供應商基本資料視窗查詢,,,,
SWD0021,已下載,供應商基本資料視窗查詢（訂貨單備註用）,,,,
SWD003,已下載,銷售通路分店視窗查詢,,,,
SWD004,已下載,產品貨架視窗查詢,,,,
SWD005,已下載,產品代號查詢,,,,
SWD006,已下載,轉進貨日期 ( 陳列轉進貨主檔 ),,,,
SWD007,已下載,報價檔供應商代號,,,,
SWD008,已下載,報價檔產品代號,,,,
SWD009,已下載,陳列品退出日期 ( 陳列品退出主檔),,,,
SWD010,已下載,貨運站基本資料視窗查詢 ,,,,
SWD011,已下載,銷售區碼資料視窗查詢 ,,,,
SWD012,已下載,供應商產品代號查詢 ,,,,
SYS901,已下載,網頁人員解除鎖定 ,,,,
TEMP,已下載,轉檔用 ,,,,
TEMP1,已下載,轉檔用  ,,,,
TRF001,已下載,轉檔 INTNPF -> INTAPF + INTBPF  ,,,,
TRF002,已下載,轉檔 INTAPF + INTBPF  ,,,,
TRF007,已下載,修正陳列單重複，請執行 CLP,,,,
TRF100,已下載,修正供應商代號,,,,
UTL001,已下載,代碼資料維護,,,,
UTL004,已下載,休假檔維護,,,,
VOU0011,已下載,銷售傳票批次 (screen check),,,,
VOU0012,已下載,銷售傳票批次 (work-file),,,,
VOU0013,已下載,傳票銷售收入明細表,,,,
