member,download,type,text,規格書
IMR062C,已下載,CLP,產品報廢明細表,
IMR062C1,已下載,CLP,產品報廢明細表,
IMR063C,已下載,CLP,產品保留量彙總表,
IMR063C1,已下載,CLP,產品保留量彙總表,
IMR064C,已下載,CLP,內陸運輸保險表,
IMR064C1,已下載,CLP,內陸運輸保險表,
IMR065C,已下載,CLP,產品與庫存量比較差異表,
IMR065C1,已下載,CLP,產品與庫存量比較差異表,
IMR066C,已下載,CLP,產品調撥明細／彙總表,
IMR066C1,已下載,CLP,產品調撥明細／彙總表,
IMR067C,已下載,CLP,車輛／車次送貨明細表,
IMR067C1,已下載,CLP,車輛／車次送貨明細表,
IMR070C,已下載,CLP,送貨揀料彙總表,
IMR070C1,已下載,CLP,送貨揀料彙總表,
IMR071C,已下載,CLP,產品送貨數量差異報表,
IMR071C1,已下載,CLP,產品送貨數量差異報表,
IMR072C,已下載,CLP,庫存與異動保留量差異表,
IMR072C1,已下載,CLP,庫存與異動保留量差異表,
IMR073C,已下載,CLP,普銷送貨揀料彙總表,
IMR073C1,已下載,CLP,普銷送貨揀料彙總表,
IMR074C,已下載,CLP,普銷淨出貨表,
IMR074C1,已下載,CLP,普銷淨出貨表,
IMR075C,已下載,CLP,收貨未確認明細表 ,
IMR075C1,已下載,CLP,收貨未確認明細表 ,
IMR076C,已下載,CLP,產品存量分佈明細表 ,
IMR076C1,已下載,CLP,產品存量分佈明細表 ,
IMR077C,已下載,CLP,調撥單列印（套表） ,
IMR077C1,已下載,CLP,調撥單列印（套表） ,
IMR078C,已下載,CLP,單位成本移動平均變動表 ,
IMR078C1,已下載,CLP,單位成本移動平均變動表 ,
IMR079C,已下載,CLP,年終與月結成本差異表 ,
IMR079C1,已下載,CLP,年終與月結成本差異表 ,
IMR080C,已下載,CLP,存貨明細帳 ,
IMR080C1,已下載,CLP,存貨明細帳 ,
IMR081C,已下載,CLP,產品可用量表－含專櫃及在途量 ,
IMR081C1,已下載,CLP,產品可用量表－含專櫃及在途量 ,
IMR082C,已下載,CLP,產品辦事處通路彙總表 ,
IMR082C1,已下載,CLP,產品辦事處通路彙總表*,
IMR083C,已下載,CLP,送貨未確認明細表,
IMR083C1,已下載,CLP,送貨未確認明細表,
INL01,已下載,CLP,INZ PGM  (MENU),
INL02,已下載,CLP,INZ PGM  (SUB-FILE MENU),
JLBCHKC,已下載,CLP,檢核進銷存過帳,
JLBCHKC1,已下載,CLP,檢核進銷存過帳,
JLB011C,已下載,CLP,銷售傳票批次,
JLB011C1,已下載,CLP,銷售傳票批次,
JLB012C,已下載,CLP,試飲傳票批次,
JLB012C1,已下載,CLP,試飲傳票批次,
JLB013C,已下載,CLP,寄賣傳票批次,
JLB013C1,已下載,CLP,寄賣傳票批次,
JLB014C,已下載,CLP,補貨傳票批次,
JLB014C1,已下載,CLP,補貨傳票批次,
JLB015C,已下載,CLP,人工作廢發票傳票批次,
JLB015C1,已下載,CLP,人工作廢發票傳票批次,
JLB021C,已下載,CLP,銷退傳票批次,
JLB021C1,已下載,CLP,銷退傳票批次,
JLB021C2,已下載,CLP,銷退傳票批次,
