member,下載,type,text,規格書
PUR040D,已下載,DSPF,運費總表                                    A1491,
PUR040P,已下載,PRTF,運費總表                                    A1491,
PUR050D,已下載,DSPF,供應商負擔運費表,
PUR050P,已下載,PRTF,供應商負擔運費總表,
PUR050P1,已下載,PRTF,供應商負擔運費明細表,
PUR060D,已下載,DSPF,驗收月報表,
PUR060P,已下載,PRTF,驗收月報表,
PUR061D,已下載,DSPF,採購單彙總表,
PUR061P1,已下載,PRTF,採購單彙總表 - 總表,
PUR061P2,已下載,PRTF,採購單彙總表 - 明細表,
SEH001D,已下載,DSPF,通路銷售資料批次處理                        A1491,
SEH001P,已下載,PRTF,通路銷售資料上傳錯誤記錄表                  A1546,
SEH002D,已下載,DSPF,通路銷售資料確認                            A1491,
SEM000D,已下載,DSPF,西祺銷售管理系統主畫面                      A1546,
SER010D,已下載,DSPF,通路無銷售資料異常表                        A1491,
SER010P,已下載,PRTF,通路無銷售資料異常表                        A1491,
SER020D,已下載,DSPF,通路銷售金額表,
SER020P,已下載,PRTF,通路銷售金額表,
SER030D,已下載,DSPF,銷貨收入分店彙總表,
SER030P,已下載,PRTF,銷貨收入分店彙總表,
SER040D,已下載,DSPF,產品銷貨收入彙總表,
SER040P,已下載,PRTF,產品銷貨收入彙總表,
SER050D,已下載,DSPF,通路銷售明細表,
SER050P,已下載,PRTF,通路銷售明細表,
SER051P,已下載,PRTF,通路銷售明細表 - 分店,
SWD001D,已下載,DSPF,代碼規則資料查詢                            A1491,
SWD002D,已下載,DSPF,供應商基本資料視窗查詢                      A1491,
SWD003D,已下載,DSPF,銷售通路分店資料視窗查詢                    A1491,
SWD004D,已下載,DSPF,產品代號 ( 貨架規則 )                       A1491,
SWD005D,已下載,DSPF,產品代號視窗查詢 ( 全部 )                   A1491,
SWD006D,已下載,DSPF,轉進貨日期 ( 陳列轉進貨主檔 )               A1491,
SWD007D,已下載,DSPF,報價檔供應商代號                            A1491,
SWD008D,已下載,DSPF,報價檔產品代號                              A1491,
SWD009D,已下載,DSPF,陳列退出日期 ( 陳列品退出主檔 )             A1546,
SWD010D,已下載,DSPF,貨運站基本資料視窗查詢                      A1491,
SWD011D,已下載,DSPF,銷售區碼資料視窗查詢                        A1492,
SWD012D,已下載,DSPF,產品代號視窗查詢 ( 供應商 )                 A1492,
SYS901D,已下載,DSPF,網頁人員解除鎖定,
SYS902D,已下載,DSPF,網頁工作清檔,
UTL001D,已下載,DSPF,代碼資料設定                                A1491,
UTL004D,已下載,DSPF,休假日期資料維護                            A1491,
UTL005D,已下載,DSPF,分店排班資料維護                            A1491,
UTL005DN,已下載,DSPF,分店排班資料維護                            A1491,
VOM000D,已下載,DSPF,西祺產生傳票主畫面                          A1546,
VOU001D,已下載,DSPF,銷售傳票批次                                A1492,
VOU0011P,已下載,PRTF,傳票銷貨收入明細表  (prtf),
VOU0012P,已下載,PRTF,傳票銷貨成本彙總表  (prtf),
VOU002D,已下載,DSPF,採購傳票批次                                A1492,
VOU0022P,已下載,PRTF,傳票採購成本表    (prtf),
VOU003D,已下載,DSPF,庫存異動傳票批次                            A1492,
VOU0032P,已下載,PRTF,傳票庫存異動成本表 (prtf),
VOU004D,已下載,DSPF,進貨退出傳票批次                            A1492,
VOU0042P,已下載,PRTF,進貨退出成本表    (prtf),
VOU005D,已下載,DSPF,陳列轉進貨傳票批次                          A1492,
VOU0052P,已下載,PRTF,陳列轉進貨表       (prtf),
VOU006D,已下載,DSPF,傳票批次作業                            A1492,
VPA001D,已下載,DSPF,直客 (VIP) 資料維護,
VPB001D,已下載,DSPF,直客 (VIP) 明細表上傳,
VPB002D,已下載,DSPF,直客 (VIP) 銷售資料上傳,
VPM000D,已下載,DSPF,ＶＩＰ管理系統主畫面,
VPR001D,已下載,DSPF,直客 (VIP) 明細表,
VPR002D,已下載,DSPF,直客 (VIP) 銷售維護,
