member,下載,type,text,規格書
PUR060C2,已下載,CLP,驗收月報表（下載）                          A1492,
PUR061C,已下載,CLP,採購單彙總表,
PUR061C1,已下載,CLP,採購單彙總表,
SCCLRF,已下載,CLP,** 西祺進銷存啟用系統清除檔案用（小心 !),
SEH001C2,已下載,CLP,通路銷售資料批次處理 - 資料上傳             A1491,
SEH0010C,已下載,CLP,通路銷售資料批次處理                        A1491,
SEH0011C,已下載,CLP,"銷售批次－ OPNQRYF SCWK03,SEHAPF",
SEH002C1,已下載,CLP,通路銷售資料確認                            A1491,
SEM000C,已下載,CLP,西祺銷售管理系統主畫面                      A1546,
SER0100C,已下載,CLP,通路無銷售資料異常表                        A1491,
SER0101C,已下載,CLP,通路無銷售資料異常表                        A1491,
SER0102C,已下載,CLP,通路無銷售資料異常表（下載）                A1492,
SER0200C,已下載,CLP,通路銷售金額表,
SER0201C,已下載,CLP,通路銷售金額表,
SER0202C,已下載,CLP,通路銷售金額表（下載）                      A1492,
SER0300C,已下載,CLP,銷貨收入分店彙總表,
SER0301C,已下載,CLP,銷貨收入分店彙總表,
SER0302C,已下載,CLP,銷貨收入分店彙總表（下載）                  A1492,
SER0400C,已下載,CLP,產品銷貨收入彙總表,
SER0401C,已下載,CLP,產品銷貨收入彙總表,
SER0402C,已下載,CLP,產品銷貨收入彙總表（下載）                  A1492,
SER0500C,已下載,CLP,通路銷售明細表,
SER0501C,已下載,CLP,通路銷售明細表,
SER0502C,已下載,CLP,通路銷售明細表（下載）,
SYS9021C,已下載,CLP,網頁工作清檔 (MAIN),
SYS9022C,已下載,CLP,網頁工作清檔,
SYS903C,已下載,CLP,網頁工作清檔鎖定 & 網頁人員解除鎖定 ( 自動 ),
SYS903SQL,已下載,TXT,網頁工作清檔鎖定 & 網頁人員解除鎖定 ( 自動 ),
TESTMSG,已下載,CLP,家樂福商品銷貨金額統計表 DBQT,
TESTRGZ,已下載,CLP,RGZPFM SEHAPF,
TEST1125,已下載,CLP,,
TEST1128,已下載,CLP,回傳 C#ELPF 的記錄數,
TRF001C,已下載,CLP,轉資料 INTNPF -> INTBPF + INTAPF            A1491,
TRF007C,已下載,CLP,修正陳列單重複                              A1491,
TWEB001SP,已下載,CLP,前台人員資料 MANFPF TEST,
UPD001C,已下載,CLP,update pocdpf cd06,
VOM000C,已下載,CLP,西祺產生傳票作業主畫面                      A1546,
VOU001C,已下載,CLP,銷售傳票批次                                A1492,
VOU001C1,已下載,CLP,銷售傳票批次                                A1492,
VOU002C,已下載,CLP,採購傳票批次                                A1492,
VOU002C1,已下載,CLP,採購傳票批次                                A1492,
VOU003C,已下載,CLP,庫存異動傳票批次                            A1492,
VOU003C1,已下載,CLP,庫存異動傳票批次                            A1492,
VOU004C,已下載,CLP,進貨退出傳票批次                            A1492,
VOU004C1,已下載,CLP,進貨退出傳票批次                            A1492,
VOU005C,已下載,CLP,陳列轉進貨傳票批次                          A1492,
VOU005C1,已下載,CLP,陳列轉進貨傳票批次                          A1492,
VOU006C,已下載,CLP,傳票批次作業                                A1492,
VOU006C1,已下載,CLP,傳票批次作業                                A1492,
VPB001C,已下載,CLP,直客 (VIP) 明細表上傳,
VPB001C1,已下載,CLP,直客 (VIP) 明細表上傳,
VPB002C,已下載,CLP,直客 (VIP) 銷售資料上傳,
VPB002C1,已下載,CLP,直客 (VIP) 銷售資料上傳,
VPM000C,已下載,CLP,ＶＩＰ管理系統主畫面,
VPR001C,已下載,CLP,直客 (VIP) 明細表下載,
VPR001C1,已下載,CLP,直客 (VIP) 明細表下載,
VPR002C,已下載,CLP,通路銷售明細表,
VPR002C1,已下載,CLP,,
WEB001C,已下載,CLP,調撥單驗收產品檢核及更新,
WEB012C,已下載,CLP,檢核訂貨單預計到分店日,
WEB015C,已下載,CLP,訂貨單產品檢核及單據產生 / 更新 / 刪除,
WEB018C,已下載,CLP,每月盤點主檔及明細檔產生 / 更新 / 刪除,
WEB019C,已下載,CLP,檢核每月盤點單,
WEB020C,已下載,CLP,WEB 每月盤點單 for 新增匯出 Excel,
WEB025C,已下載,CLP,驗收單產品檢核及更新,
WEB026C,已下載,CLP,採購單寄出 FLAG SETTING (SCDA01 7),
WEB027C,已下載,CLP,應到貨箱數表寄出 FLAG SETTING (SCDA01 8),
WEB029C,已下載,CLP,應到貨箱數表寄出 FLAG SETTING (SCDA01 8),
WEB032C,已下載,CLP,採購單寄出 CHECK,
WEB033C,已下載,CLP,庫存查詢 BY 貨架 CL,
WEB034C,已下載,CLP,庫存查詢 BY 產品 CL,
WEB035C,已下載,CLP,庫存查詢 BY 分店 CL,
WEB041C,已下載,CLP,計算帳列庫存量,
WEB042C,已下載,CLP,,
WEB043C,已下載,CLP,,
XXXX,已下載,CLP,,
Z003C1,已下載,CLP,,
