member,下載,type,text,規格書
IMR046,已下載,RPG,客戶送貨明細表 (SCREEN CHECK),
IMR0461,已下載,RPG,客戶送貨明細表 (PRINT REPORTS),
IMR0462,已下載,RPG,客戶送貨明細表 (PRINT REPORTS),
IMR047,已下載,RPG,產品送貨明細表 (SCREEN CHECK),
IMR0471,已下載,RPG,產品送貨明細表 (PRINT REPORTS),
IMR048,已下載,RPG,進銷存彙總表 (SCREEN CHECK)     920826,
IMR0481,已下載,RPG,進銷存彙總表 (PRINT REPORTS)    920826,
IMR049,已下載,RPG,異動明細表 (SCREEN CHECK),
IMR0491,已下載,RPG,異動明細表 (PRINT REPORTS)    920826,
IMR04911,已下載,RPG,異動明細表 (WRITE WF),
IMR04912,已下載,RPG,異動明細表 (PRINT REPORTS),
IMR0492,已下載,RPG,異動明細表 (PRINT REPORTS)    920826,
IMR04921,已下載,RPG,異動明細表 (WRITE WF),
IMR04922,已下載,RPG,異動明細表 (PRINT REPORTS),
IMR050,已下載,RPG,存貨週轉率報表 (SCREEN CHECK),
IMR0501,已下載,RPG,存貨週轉率報表 (PRINT REPORTS),
IMR053,已下載,RPG,專櫃產品存貨彙總表 (SCREEN CHECK),
IMR0531,已下載,RPG,專櫃產品存貨彙總表 (PRINT REPORTS),
IMR054,已下載,RPG,滯銷產品明細表 (SCREEN CHECK),
IMR0541,已下載,RPG,滯銷產品明細表 (PRINT REPORTS),
IMR055,已下載,RPG,存貨月報表 (SCREEN CHECK),
IMR0551,已下載,RPG,存貨月報表 (PRINT REPORTS),
IMR056,已下載,RPG,送貨數量差異報表 (SCREEN CHECK),
IMR0561,已下載,RPG,送貨數量差異報表 (PRINT REPORTS),
IMR057,已下載,RPG,物流點存貨明細表 (SCREEN CHECK),
IMR0571,已下載,RPG,物流點存貨明細表 (PRINT REPORTS),
IMR058,已下載,RPG,倉庫預訂送貨明細表,
IMR0581,已下載,RPG,倉庫預訂送貨明細表－依產品,
IMR0582,已下載,RPG,倉庫預訂送貨明細表－依產品 print report,
IMR0583,已下載,RPG,倉庫預訂送貨明細表－依客戶別,
IMR0584,已下載,RPG,倉庫預訂送貨明細表－依客戶別 print report,
IMR060,已下載,RPG,良壞轉換明細表    screen check,
IMR0601,已下載,RPG,良壞轉換明細表,
IMR061,已下載,RPG,緊急出貨作業,
IMR0611,已下載,RPG,緊急出貨作業－ select,
IMR0612,已下載,RPG,訂單批次處理 (BATCH) upd by stephanie 810503,
IMR062,已下載,RPG,產品報廢明細表    screen check,
IMR0621,已下載,RPG,產品報廢明細表 ,
IMR063,已下載,RPG,產品保留量彙總表 (SCREEN CHECK) ,
IMR0631,已下載,RPG,產品保留量彙總表 (WRITE WORKFILE) ,
IMR0632,已下載,RPG,產品保留量彙總表 (REPORT) ,
IMR064,已下載,RPG,內陸運輸保險 ,
IMR0641,已下載,RPG,內陸運輸保險表 ,
IMR0642,已下載,RPG,內陸運輸保險表 ,
IMR065,已下載,RPG,產品與庫存量比較差異表 (SCREEN CHECK) ,
IMR0651,已下載,RPG,產品與庫存量比較差異表 (PRINT REPORTS) ,
IMR066,已下載,RPG,產品調撥明細／彙總表    screen check ,
IMR0661,已下載,RPG,產品調撥明細表依（出貨物流點） ,
IMR0662,已下載,RPG,產品調撥明細表依（收貨物流點） ,
IMR0663,已下載,RPG,產品調撥彙總表依（出貨物流點） ,
IMR0664,已下載,RPG,產品調撥彙總表依（出貨物流點） ,
IMR067,已下載,RPG,車輛／車次送貨明細表 (SCREEN CHECK) ,
IMR0671,已下載,RPG,車輛／車次送貨明細表－依送貨日期 (printreport),
IMR0672,已下載,RPG,車輛／車次送貨明細表－依車號 (printreport),
IMR070,已下載,RPG,送貨揀料彙總表 (SCREEN CHECK) ,
IMR0701,已下載,RPG,送貨揀料彙總表 (PRINT REPORTS) ,
IMR071,已下載,RPG,產品送貨數量差異報表 ,
IMR0711,已下載,RPG,產品送貨數量差異報表 ,
IMR072,已下載,RPG,庫存與異動保留量差異表 ,
IMR0721,已下載,RPG,庫存與異動保留量差異表 (REPORT) ,
IMR073,已下載,RPG,普銷送貨揀料彙總表 (SCREEN CHECK) ,
IMR0731,已下載,RPG,普銷送貨揀料彙總表 (PRINT REPORTS) ,
IMR0732,已下載,RPG,普銷送貨揀料彙總表 (PRINT REPORTS) ,
IMR074,已下載,RPG,普銷淨出貨表 (SCREEN CHECK) ,
IMR0741,已下載,RPG,普銷淨出貨表 (PRINT REPORTS) ,
IMR075,已下載,RPG,收貨未確認明細表 (SCREEN CHECK) ,
IMR0751,已下載,RPG,收貨未確認明細表 (PRINT REPORTS) ,
IMR0752,已下載,RPG,收貨未確認明細表 (PRINT REPORTS) ,
IMR076,已下載,RPG,產品存量分佈明細表 (SCREEN CHECK) ,
IMR0761,已下載,RPG,產品存量分佈明細表 (PRINT REPORTS),
IMR0762,已下載,RPG,產品存量分佈明細表 (PRINT REPORTS),
IMR077,已下載,RPG,調撥單列印（套表） (SCREEN CHECK),
IMR0771,已下載,RPG,調撥單列印（套表） (PRINT REPORTS),
IMR078,已下載,RPG,單位成本移動平均變動表 (SCREEN CHECK),
IMR0781,已下載,RPG,單位成本移動平均變動表 (WRITE TO WORK FILE),
IMR0781J,已下載,RPG,單位成本移動平均變動表 (WRITE TO WORK FILE),
IMR0782,已下載,RPG,單位成本移動平均變動表 (PRINT REPORTS),
IMR079,已下載,RPG,年終與月結成本差異表,
IMR0791,已下載,RPG,年終與月結成本差異表 (REPORT),
IMR080,已下載,RPG,存貨明細帳 (SCREEN CHECK),
IMR0801,已下載,RPG,存貨明細帳 (WRITE TO WORK FILE),
IMR0802,已下載,RPG,存貨明細帳Ａ表 (PRINT REPORTS),
IMR0803,已下載,RPG,存貨明細帳Ｂ表 (PRINT REPORTS),
IMR081,已下載,RPG,產品庫存量表－含專櫃＆在途量 (SCREEN CHECK),
IMR0811,已下載,RPG,產品庫存量表－含專櫃＆在途量 (WORK FILE),
IMR0812,已下載,RPG,產品庫存量表－含專櫃＆在途量 (PRINTREPORTS),
IMR082,已下載,RPG,ROLLING FORECAST (SCREEN CHECK) ,
IMR0821,已下載,RPG,FORECAST (WRITE WORK FILE) ,
IMR0822,已下載,RPG,ROLLING FORECAST (PRINT REPORTS) ,
IMR083,已下載,RPG,送貨未確認明細表 (SCREEN CHECK) ,
IMR0831,已下載,RPG,送貨未確認明細表 (PRINT REPORTS) ,
